ax,ay,az,gx,gy,gz,date_time,temp,pressure
,,,,,,2017-4-3	17:4:51,,
0.228516,-0.929688,0.140625,21.3623,21.759,32.959,,,
0.298828,-0.914062,0.181641,48.4009,17.9749,23.8342,,,
0.371094,-0.910156,0.197266,68.2068,8.5144,6.80542,,,
0.357422,-0.900391,0.189453,74.4324,2.31934,-4.91333,,,
0.306641,-0.902344,0.1875,69.9463,7.41577,-7.50732,,,
0.257812,-0.923828,0.214844,54.3213,20.9351,2.41089,,,
0.193359,-0.970703,0.183594,28.4729,42.1448,27.9846,,,
0.169922,-1.00195,0.1875,-13.7939,65.2161,58.96,,,
0.144531,-1.01758,0.210938,-65.7654,76.3245,77.4841,,,
0.234375,-0.941406,0.208984,-100.83,71.9604,77.4536,,,
0.316406,-0.925781,0.228516,-106.293,51.0864,63.1714,,,
0.404297,-0.941406,0.226562,-86.8225,20.0806,42.9382,,,
0.388672,-0.953125,0.273438,-57.3425,-8.3313,27.8931,,,
0.263672,-0.857422,0.199219,-30.2124,-25.8484,2.53296,,,
0.148438,-0.873047,0.230469,-42.2668,-16.7236,7.01904,,,
0.179688,-0.902344,0.261719,-34.8206,-17.5171,12.0239,,,
0.152344,-0.914062,0.300781,-35.2173,-32.2876,13.5498,,,
0.125,-0.978516,0.285156,-43.396,-50.415,17.7917,,,
0.154297,-1.08398,0.279297,-3.38745,-58.5022,29.1748,,,
0.238281,-1.06836,0.322266,29.7852,-68.1152,30.2429,,,
0.302734,-1.0332,0.166016,10.5896,-69.6411,18.7988,,,
0.324219,-0.992188,0.175781,-22.3999,-54.1077,9.18579,,,
0.277344,-0.970703,0.146484,-59.3262,-20.874,9.00269,,,
0.154297,-0.958984,0.167969,-99.7314,15.8997,21.2097,,,
0.0234375,-1.00391,0.193359,-123.535,49.53,42.511,,,
0.0410156,-1.04492,0.220703,-100.037,71.5332,45.8374,,,
0.242188,-1.00977,0.28125,-58.3191,78.4607,28.8086,,,
0.34375,-1.0293,0.34375,-41.1987,64.6667,6.40869,,,
0.289062,-1.06055,0.441406,-50.4761,38.6353,-12.207,,,
0.185547,-0.980469,0.482422,-80.2307,13.5193,-14.679,,,
0.0351562,-0.980469,0.517578,-110.779,-2.59399,-2.16675,,,
-0.0527344,-0.962891,0.492188,-106.842,-10.5591,12.1765,,,
-0.0136719,-0.917969,0.445312,-84.6558,-11.7188,14.1296,,,
0.121094,-0.912109,0.404297,-40.5273,-8.30078,-4.88281,,,
0.263672,-0.847656,0.359375,-14.2822,-9.00269,-24.0479,,,
0.210938,-0.847656,0.3125,-18.8293,-11.2,-24.8413,,,
0.0507812,-0.890625,0.341797,-36.1633,-14.7705,-15.2283,,,
-0.00195312,-0.888672,0.341797,-58.7463,-14.8926,0.671387,,,
-0.0449219,-0.876953,0.300781,-66.1926,-4.08936,13.7024,,,
-0.03125,-0.890625,0.238281,-38.4521,15.3503,13.4583,,,
0.107422,-0.884766,0.240234,-5.58472,33.9661,5.40161,,,
0.214844,-0.933594,0.240234,4.45557,47.8821,-0.579834,,,
0.189453,-0.908203,0.222656,3.63159,52.3376,-0.762939,,,
0.142578,-0.910156,0.296875,-1.40381,46.2341,1.7395,,,
0.101562,-0.933594,0.363281,-6.92749,32.6538,8.17871,,,
,,,,,,2017-4-3	17:5:0,30,0
0.0605469,-0.908203,0.339844,90.9424,-26.6418,55.4199,,,
0.0996094,-0.96875,0.246094,76.5686,-18.9514,50.8728,,,
0.324219,-0.876953,0.230469,81.8176,-14.5264,20.5383,,,
0.384766,-0.884766,0.191406,76.5991,-19.5618,-11.1694,,,
0.224609,-0.916016,0.195312,75.6531,2.01416,-16.2659,,,
0.0996094,-0.830078,0.427734,96.5271,-9.09424,-20.05,,,
0.0585938,-0.880859,0.447266,93.1091,-38.8184,-22.7966,,,
-0.00976562,-0.904297,0.462891,66.5588,-49.7742,-2.99072,,,
